xflr5 v6.12

Wing name :        Q1flaps30
Wing polar name :  T1-210.0 mph-LLT
Freestream speed : 210.000 mph


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -16.500     0.000  -0.563660   0.022471   0.019372   0.041843   0.000000  -0.000000  -0.206908   0.000000   0.000000   93.8784     0.3738
  -16.250     0.000  -0.546771   0.022545   0.018676   0.041221   0.000000  -0.000000  -0.203876  -0.000000   0.000000   93.8784     0.4015
  -16.000     0.000  -0.529438   0.022593   0.018055   0.040648   0.000000  -0.000000  -0.200748  -0.000000  -0.000000   93.8784     0.5978
  -15.750     0.000  -0.512349   0.022618   0.017516   0.040134   0.000000  -0.000000  -0.197485   0.000000   0.000000   93.8784     0.7549
  -15.500     0.000  -0.494882   0.022639   0.017037   0.039676   0.000000  -0.000000  -0.194100   0.000000   0.000000   93.8784     0.9650
  -15.250     0.000  -0.477736   0.022647   0.016560   0.039207   0.000000  -0.000000  -0.190851   0.000000  -0.000000   93.8784     0.7010
  -15.000     0.000  -0.459629   0.022681   0.016127   0.038807   0.000000  -0.000000  -0.187423   0.000000   0.000000   93.8784     0.6887
  -14.750     0.000  -0.441536   0.022744   0.015691   0.038435   0.000000  -0.000000  -0.184025   0.000000   0.000000   93.8784     1.0908
  -14.500     0.000  -0.423506   0.022817   0.015304   0.038120   0.000000  -0.000000  -0.180430  -0.000000  -0.000000   93.8784     1.1433
  -14.250     0.000  -0.405555   0.022885   0.014942   0.037827   0.000000  -0.000000  -0.176800  -0.000000  -0.000000   93.8784     0.8696
  -14.000     0.000  -0.387579   0.022936   0.014616   0.037551   0.000000  -0.000000  -0.173148  -0.000000  -0.000000   93.8784     0.5068
  -13.750     0.000  -0.368921   0.022906   0.014340   0.037246   0.000000  -0.000000  -0.169514   0.000000  -0.000000   93.8784     0.4491
  -13.500     0.000  -0.350065   0.022887   0.014074   0.036961   0.000000  -0.000000  -0.165883   0.000000   0.000000   93.8784     0.4018
  -13.250     0.000  -0.331084   0.022881   0.013818   0.036699   0.000000  -0.000000  -0.162227   0.000000   0.000000   93.8784     0.3463
  -13.000     0.000  -0.311870   0.022882   0.013573   0.036454   0.000000  -0.000000  -0.158574   0.000000   0.000000   93.8784     0.2965
  -12.750     0.000  -0.291869   0.022856   0.013358   0.036214   0.000000  -0.000000  -0.154953   0.000000   0.000000   93.8784     0.2435
  -12.500     0.000  -0.271769   0.022849   0.013149   0.035998   0.000000  -0.000000  -0.151315   0.000000   0.000000   93.8784     0.1906
  -12.250     0.000  -0.251548   0.022858   0.012951   0.035809   0.000000  -0.000000  -0.147657   0.000000   0.000000   93.8784     0.1399
  -12.000     0.000  -0.231236   0.022893   0.012755   0.035648   0.000000  -0.000000  -0.143978   0.000000   0.000000   93.8784     0.0864
  -11.750     0.000  -0.210893   0.022896   0.012596   0.035493   0.000000  -0.000000  -0.140259   0.000000   0.000000   93.8784     0.0601
  -11.500     0.000  -0.190909   0.022880   0.012480   0.035360   0.000000  -0.000000  -0.136457   0.000000   0.000000   93.8784    -0.0098
  -11.250     0.000  -0.170656   0.022872   0.012366   0.035237   0.000000  -0.000000  -0.132667   0.000000   0.000000   93.8784    -0.0988
  -11.000     0.000  -0.193015   0.019802   0.014922   0.034723   0.000000  -0.000000  -0.130344   0.000000  -0.000000   93.8784    -0.3104
  -10.750     0.000  -0.172580   0.019739   0.014860   0.034599   0.000000  -0.000000  -0.126628   0.000000  -0.000000   93.8784    -0.3612
  -10.500     0.000  -0.150750   0.019666   0.014804   0.034470   0.000000  -0.000000  -0.123085   0.000000  -0.000000   93.8784    -0.4340
  -10.250     0.000  -0.127869   0.019649   0.014708   0.034357   0.000000  -0.000000  -0.119569   0.000000  -0.000000   93.8784    -0.6263
  -10.000     0.000  -0.104342   0.019657   0.014610   0.034267   0.000000  -0.000000  -0.116103   0.000000  -0.000000   93.8784    -0.8878
   -9.750     0.000  -0.079731   0.019755   0.014473   0.034228   0.000000  -0.000000  -0.112625   0.000000  -0.000000   93.8784    -1.3880
   -9.500     0.000  -0.054560   0.019899   0.014324   0.034223   0.000000  -0.000000  -0.109166   0.000000  -0.000000   93.8784    -2.3524
   -9.250     0.000  -0.029093   0.020095   0.014160   0.034255   0.000000  -0.000000  -0.105691   0.000000  -0.000000   93.8784    -5.5311
   -9.000     0.000  -0.003095   0.020344   0.014007   0.034351   0.000000  -0.000000  -0.102261   0.000000  -0.000000   93.8784   -57.0639
   -8.750     0.000   0.023881   0.020704   0.013816   0.034520   0.000000  -0.000000  -0.098782   0.000000  -0.000000   93.8784     7.2270
   -8.500     0.000   0.051006   0.021103   0.013623   0.034726   0.000000  -0.000000  -0.095298   0.000000  -0.000000   93.8784     3.8737
   -8.250     0.000   0.077032   0.021449   0.013471   0.034921   0.000000  -0.000000  -0.091823   0.000000  -0.000000   93.8784     3.0568
   -8.000     0.000   0.104567   0.021961   0.013279   0.035241   0.000000  -0.000000  -0.088296   0.000000  -0.000000   93.8784     2.4693
   -7.750     0.000   0.132165   0.022518   0.013080   0.035597   0.000000  -0.000000  -0.084758   0.000000  -0.000000   93.8784     2.1089
   -7.500     0.000   0.107677   0.019444   0.015565   0.035009   0.000000  -0.000000  -0.082089   0.000000   0.000000   93.8784     2.1410
   -7.250     0.000   0.133906   0.019918   0.015410   0.035328   0.000000  -0.000000  -0.078528   0.000000   0.000000   93.8784     1.8896
   -7.000     0.000   0.160172   0.020426   0.015254   0.035680   0.000000  -0.000000  -0.074974   0.000000   0.000000   93.8784     1.7159
   -6.750     0.000   0.186983   0.021022   0.015090   0.036112   0.000000  -0.000000  -0.071432   0.000000   0.000000   93.8784     1.6056
   -6.500     0.000   0.096011   0.011534   0.021875   0.033410   0.000000  -0.000000  -0.076125   0.000000   0.000000   93.8784     2.1710
   -6.250     0.000   0.118802   0.011622   0.021883   0.033506   0.000000  -0.000000  -0.072741   0.000000   0.000000   93.8784     1.9749
   -6.000     0.000   0.141639   0.011732   0.021891   0.033623   0.000000  -0.000000  -0.069369   0.000000   0.000000   93.8784     1.7680
   -5.750     0.000   0.164486   0.011863   0.021899   0.033762   0.000000  -0.000000  -0.066001   0.000000   0.000000   93.8784     1.5226
   -5.500     0.000   0.187322   0.012014   0.021910   0.033924   0.000000  -0.000000  -0.062638   0.000000   0.000000   93.8784     1.4187
   -5.250     0.000   0.210091   0.012186   0.021921   0.034107   0.000000  -0.000000  -0.059279   0.000000   0.000000   93.8784     1.4311
   -5.000     0.000   0.232785   0.012380   0.021926   0.034306   0.000000  -0.000000  -0.055911   0.000000   0.000000   93.8784     1.3955
   -4.750     0.000   0.255378   0.012594   0.021929   0.034523   0.000000  -0.000000  -0.052536   0.000000   0.000000   93.8784     1.3399
