xflr5 v6.12

Wing name :        Q1noflaps
Wing polar name :  T1-210.0 mph-LLT
Freestream speed : 210.000 mph


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -19.000     0.000  -0.852454   0.016888   0.049461   0.066350   0.000000   0.000000  -0.241413  -0.000000   0.000000   93.8784     0.6068
  -18.750     0.000  -0.861110   0.016959   0.045936   0.062895   0.000000   0.000000  -0.243383  -0.000000   0.000000   93.8784     0.6083
  -18.500     0.000  -0.868826   0.017072   0.042645   0.059717   0.000000   0.000000  -0.245198  -0.000000   0.000000   93.8784     0.6098
  -18.250     0.000  -0.875337   0.017221   0.039635   0.056856   0.000000   0.000000  -0.246670  -0.000000   0.000000   93.8784     0.6115
  -18.000     0.000  -0.880887   0.017411   0.036822   0.054233   0.000000   0.000000  -0.248006  -0.000000   0.000000   93.8784     0.6130
  -17.750     0.000  -0.885511   0.017647   0.034155   0.051802   0.000000   0.000000  -0.249133  -0.000000   0.000000   93.8784     0.6147
  -17.500     0.000  -0.889106   0.017931   0.031639   0.049570   0.000000   0.000000  -0.250189  -0.000000   0.000000   93.8784     0.6163
  -17.250     0.000  -0.891989   0.018273   0.029230   0.047503   0.000000   0.000000  -0.251137  -0.000000   0.000000   93.8784     0.6178
  -17.000     0.000  -0.890237   0.018219   0.027700   0.045919   0.000000   0.000000  -0.249841  -0.000000   0.000000   93.8784     0.6201
  -16.750     0.000  -0.887007   0.018043   0.026433   0.044475   0.000000   0.000000  -0.247891  -0.000000   0.000000   93.8784     0.6226
  -16.500     0.000  -0.883189   0.017846   0.025231   0.043076   0.000000   0.000000  -0.245881  -0.000000   0.000000   93.8784     0.6248
  -16.250     0.000  -0.878785   0.017617   0.024071   0.041689   0.000000   0.000000  -0.243750  -0.000000   0.000000   93.8784     0.6270
  -16.000     0.000  -0.873685   0.017371   0.022983   0.040354   0.000000   0.000000  -0.241545  -0.000000   0.000000   93.8784     0.6291
  -15.750     0.000  -0.868361   0.017122   0.021916   0.039038   0.000000   0.000000  -0.239320  -0.000000   0.000000   93.8784     0.6310
  -15.500     0.000  -0.862371   0.016852   0.020898   0.037749   0.000000   0.000000  -0.237071  -0.000000   0.000000   93.8784     0.6327
  -15.250     0.000  -0.856217   0.016582   0.019893   0.036475   0.000000   0.000000  -0.234818  -0.000000   0.000000   93.8784     0.6343
  -15.000     0.000  -0.849456   0.016302   0.018923   0.035225   0.000000   0.000000  -0.232565  -0.000000   0.000000   93.8784     0.6357
  -14.750     0.000  -0.842435   0.016017   0.017965   0.033982   0.000000   0.000000  -0.230316  -0.000000   0.000000   93.8784     0.6370
  -14.500     0.000  -0.835166   0.015732   0.017029   0.032761   0.000000   0.000000  -0.228054  -0.000000   0.000000   93.8784     0.6381
  -14.250     0.000  -0.827528   0.015439   0.016149   0.031588   0.000000   0.000000  -0.225622  -0.000000   0.000000   93.8784     0.6394
  -14.000     0.000  -0.818408   0.015087   0.015510   0.030597   0.000000   0.000000  -0.222373  -0.000000   0.000000   93.8784     0.6412
  -13.750     0.000  -0.808674   0.014714   0.014905   0.029619   0.000000   0.000000  -0.219062  -0.000000   0.000000   93.8784     0.6429
  -13.500     0.000  -0.797918   0.014303   0.014355   0.028657   0.000000   0.000000  -0.215653  -0.000000   0.000000   93.8784     0.6443
  -13.250     0.000  -0.786906   0.013891   0.013825   0.027715   0.000000   0.000000  -0.212213  -0.000000   0.000000   93.8784     0.6457
  -13.000     0.000  -0.775425   0.013467   0.013319   0.026786   0.000000   0.000000  -0.208726  -0.000000   0.000000   93.8784     0.6469
