xflr5 v6.12

Wing name :        full
Wing polar name :  T1-250.0 mph-VLM2
Freestream speed : 250.000 mph


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -14.250     0.000  -0.821665   0.018535   0.016311   0.034846   0.000000  -0.000000   0.402669  -0.000000  -0.000000  111.7600     1.9079
  -14.000     0.000  -0.797184   0.017591   0.012581   0.030172   0.000000  -0.000000   0.399694  -0.000000  -0.000000  111.7600     1.9215
  -13.750     0.000  -0.772658   0.016671   0.011733   0.028404   0.000000  -0.000000   0.396501  -0.000000  -0.000000  111.7600     1.9360
  -13.500     0.000  -0.748087   0.015775   0.011495   0.027271   0.000000  -0.000000   0.393233  -0.000000  -0.000000  111.7600     1.9515
  -13.250     0.000  -0.723474   0.014905   0.011279   0.026184   0.000000  -0.000000   0.389922  -0.000000  -0.000000  111.7600     1.9682
  -13.000     0.000  -0.698819   0.014060   0.011078   0.025137   0.000000  -0.000000   0.386568  -0.000000  -0.000000  111.7600     1.9861
  -12.750     0.000  -0.674123   0.013240   0.011140   0.024380   0.000000  -0.000000   0.383159  -0.000000  -0.000000  111.7600     2.0055
  -12.500     0.000  -0.649387   0.012445   0.010890   0.023335   0.000000  -0.000000   0.379722  -0.000000  -0.000000  111.7600     2.0264
  -12.250     0.000  -0.624614   0.011676   0.010679   0.022356   0.000000  -0.000000   0.376241  -0.000000  -0.000000  111.7600     2.0490
  -12.000     0.000  -0.599803   0.010934   0.010489   0.021423   0.000000  -0.000000   0.372718  -0.000000  -0.000000  111.7600     2.0736
  -11.750     0.000  -0.574955   0.010217   0.010319   0.020536   0.000000  -0.000000   0.369154  -0.000000  -0.000000  111.7600     2.1004
  -11.500     0.000  -0.550073   0.009526   0.010160   0.019686   0.000000  -0.000000   0.365547  -0.000000  -0.000000  111.7600     2.1297
  -11.250     0.000  -0.525157   0.008862   0.010008   0.018871   0.000000  -0.000000   0.361901  -0.000000  -0.000000  111.7600     2.1619
