xflr5 v6.12

Wing name :        Q1noflaps
Wing polar name :  T1-110.0 mph-LLT
Freestream speed : 110.000 mph


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -15.750     0.000  -0.853427   0.016465   0.022373   0.038838   0.000000  -0.000000  -0.248937   0.000000  -0.000000   49.1744     0.6087
  -15.500     0.000  -0.848886   0.016214   0.021268   0.037481   0.000000  -0.000000  -0.245641   0.000000  -0.000000   49.1744     0.6127
  -15.250     0.000  -0.842853   0.015929   0.020315   0.036244   0.000000  -0.000000  -0.242283   0.000000  -0.000000   49.1744     0.6161
  -15.000     0.000  -0.835924   0.015624   0.019446   0.035069   0.000000   0.000000  -0.238869  -0.000000  -0.000000   49.1744     0.6191
  -14.750     0.000  -0.828157   0.015302   0.018653   0.033955   0.000000  -0.000000  -0.235424  -0.000000  -0.000000   49.1744     0.6218
  -14.500     0.000  -0.819559   0.014957   0.017930   0.032887   0.000000  -0.000000  -0.231907   0.000000  -0.000000   49.1744     0.6243
  -14.250     0.000  -0.810215   0.014599   0.017258   0.031857   0.000000   0.000000  -0.228375   0.000000  -0.000000   49.1744     0.6264
  -14.000     0.000  -0.800147   0.014222   0.016635   0.030857   0.000000   0.000000  -0.224778   0.000000   0.000000   49.1744     0.6283
  -13.750     0.000  -0.789423   0.013831   0.016055   0.029886   0.000000  -0.000000  -0.221180  -0.000000  -0.000000   49.1744     0.6299
  -13.500     0.000  -0.777966   0.013419   0.015516   0.028935   0.000000  -0.000000  -0.217522  -0.000000  -0.000000   49.1744     0.6313
  -13.250     0.000  -0.765947   0.012998   0.015013   0.028012   0.000000  -0.000000  -0.213855  -0.000000  -0.000000   49.1744     0.6324
  -13.000     0.000  -0.753448   0.012569   0.014539   0.027107   0.000000  -0.000000  -0.210140   0.000000  -0.000000   49.1744     0.6333
  -12.750     0.000  -0.740492   0.012134   0.014095   0.026229   0.000000  -0.000000  -0.206413  -0.000000  -0.000000   49.1744     0.6340
  -12.500     0.000  -0.727241   0.011698   0.013674   0.025371   0.000000  -0.000000  -0.202659  -0.000000  -0.000000   49.1744     0.6346
  -12.250     0.000  -0.713586   0.011259   0.013279   0.024538   0.000000   0.000000  -0.198887  -0.000000  -0.000000   49.1744     0.6351
  -12.000     0.000  -0.699737   0.010823   0.012901   0.023724   0.000000   0.000000  -0.195095  -0.000000  -0.000000   49.1744     0.6354
  -11.750     0.000  -0.685580   0.010390   0.012549   0.022939   0.000000   0.000000  -0.191273  -0.000000  -0.000000   49.1744     0.6356
  -11.500     0.000  -0.671284   0.009961   0.012210   0.022170   0.000000   0.000000  -0.187437  -0.000000  -0.000000   49.1744     0.6358
  -11.250     0.000  -0.656726   0.009533   0.011897   0.021430   0.000000  -0.000000  -0.183562  -0.000000  -0.000000   49.1744     0.6358
  -11.000     0.000  -0.642132   0.009114   0.011596   0.020710   0.000000   0.000000  -0.179667  -0.000000  -0.000000   49.1744     0.6359
  -10.750     0.000  -0.627210   0.008693   0.011319   0.020013   0.000000   0.000000  -0.175737  -0.000000  -0.000000   49.1744     0.6357
  -10.500     0.000  -0.612188   0.008278   0.011065   0.019343   0.000000  -0.000000  -0.171781  -0.000000  -0.000000   49.1744     0.6356
  -10.250     0.000  -0.596141   0.007841   0.010847   0.018688   0.000000   0.000000  -0.167788  -0.000000  -0.000000   49.1744     0.6347
  -10.000     0.000  -0.578736   0.007378   0.010656   0.018034   0.000000   0.000000  -0.163805  -0.000000  -0.000000   49.1744     0.6329
   -9.750     0.000  -0.560672   0.006915   0.010492   0.017407   0.000000  -0.000000  -0.159827  -0.000000  -0.000000   49.1744     0.6305
   -9.500     0.000  -0.542208   0.006459   0.010339   0.016798   0.000000  -0.000000  -0.155827   0.000000  -0.000000   49.1744     0.6276
   -9.250     0.000  -0.522550   0.005995   0.010200   0.016195   0.000000   0.000000  -0.151953  -0.000000  -0.000000   49.1744     0.6232
   -9.000     0.000  -0.502353   0.005537   0.010067   0.015604   0.000000   0.000000  -0.148141  -0.000000  -0.000000   49.1744     0.6179
   -8.750     0.000  -0.481701   0.005089   0.009929   0.015018   0.000000  -0.000000  -0.144366  -0.000000  -0.000000   49.1744     0.6116
   -8.500     0.000  -0.460648   0.004652   0.009796   0.014448   0.000000   0.000000  -0.140645  -0.000000  -0.000000   49.1744     0.6042
   -8.250     0.000  -0.439361   0.004230   0.009662   0.013892   0.000000   0.000000  -0.136940  -0.000000  -0.000000   49.1744     0.5956
   -8.000     0.000  -0.418116   0.003829   0.009516   0.013344   0.000000   0.000000  -0.133209  -0.000000  -0.000000   49.1744     0.5865
   -7.750     0.000  -0.396721   0.003444   0.009368   0.012812   0.000000   0.000000  -0.129495  -0.000000  -0.000000   49.1744     0.5759
   -7.500     0.000  -0.375240   0.003079   0.009216   0.012295   0.000000   0.000000  -0.125796  -0.000000  -0.000000   49.1744     0.5640
   -7.250     0.000  -0.353729   0.002734   0.009059   0.011793   0.000000   0.000000  -0.122105  -0.000000  -0.000000   49.1744     0.5505
   -7.000     0.000  -0.331943   0.002407   0.008907   0.011313   0.000000   0.000000  -0.118450   0.000000  -0.000000   49.1744     0.5347
   -6.750     0.000  -0.310087   0.002099   0.008754   0.010854   0.000000   0.000000  -0.114795  -0.000000  -0.000000   49.1744     0.5164
   -6.500     0.000  -0.287883   0.001809   0.008614   0.010423   0.000000   0.000000  -0.111171  -0.000000  -0.000000   49.1744     0.4942
   -6.250     0.000  -0.265559   0.001539   0.008479   0.010018   0.000000   0.000000  -0.107543   0.000000  -0.000000   49.1744     0.4687
   -6.000     0.000  -0.242917   0.001288   0.008354   0.009642   0.000000   0.000000  -0.103939   0.000000  -0.000000   49.1744     0.4361
   -5.750     0.000  -0.220206   0.001059   0.008231   0.009290   0.000000   0.000000  -0.100331   0.000000  -0.000000   49.1744     0.3988
   -5.500     0.000  -0.197269   0.000850   0.008117   0.008966   0.000000   0.000000  -0.096740   0.000000  -0.000000   49.1744     0.3469
   -5.250     0.000  -0.174290   0.000664   0.008002   0.008666   0.000000  -0.000000  -0.093150   0.000000  -0.000000   49.1744     0.2893
   -5.000     0.000  -0.151330   0.000501   0.007881   0.008382   0.000000   0.000000  -0.089543   0.000000  -0.000000   49.1744     0.1981
   -4.750     0.000  -0.128417   0.000361   0.007754   0.008115   0.000000   0.000000  -0.085925   0.000000  -0.000000   49.1744     0.0971
   -4.500     0.000  -0.105731   0.000245   0.007609   0.007853   0.000000   0.000000  -0.082314   0.000000  -0.000000   49.1744    -0.0919
   -4.250     0.000  -0.083248   0.000152   0.007449   0.007600   0.000000  -0.000000  -0.078699   0.000000  -0.000000   49.1744    -0.3380
   -4.000     0.000  -0.060677   0.000081   0.007292   0.007372   0.000000  -0.000000  -0.075097  -0.000000  -0.000000   49.1744    -1.1222
   -3.750     0.000  -0.037889   0.000032   0.007144   0.007176   0.000000   0.000000  -0.071520   0.000000  -0.000000   49.1744    -2.9091
   -3.500     0.000  -0.015087   0.000005   0.006997   0.007002   0.000000   0.000000  -0.067944   0.000000   0.000000   49.1744    -4.1632
   -3.250     0.000   0.007873   0.000002   0.006854   0.006856   0.000000   0.000000  -0.064377  -0.000000   0.000000   49.1744    -1.0308
   -3.000     0.000   0.030834   0.000021   0.006711   0.006732   0.000000  -0.000000  -0.060808   0.000000  -0.000000   49.1744     2.6805
   -2.750     0.000   0.053691   0.000063   0.006553   0.006616   0.000000   0.000000  -0.057240   0.000000  -0.000000   49.1744     2.8191
   -2.500     0.000   0.076521   0.000128   0.006390   0.006518   0.000000  -0.000000  -0.053670   0.000000  -0.000000   49.1744     2.1554
   -2.250     0.000   0.098931   0.000214   0.006188   0.006402   0.000000   0.000000  -0.050062  -0.000000  -0.000000   49.1744     1.7627
   -2.000     0.000   0.121156   0.000322   0.005964   0.006286   0.000000  -0.000000  -0.046436   0.000000  -0.000000   49.1744     1.5877
   -1.750     0.000   0.143132   0.000450   0.005707   0.006157   0.000000  -0.000000  -0.042791   0.000000  -0.000000   49.1744     1.4448
   -1.500     0.000   0.164834   0.000598   0.005410   0.006008   0.000000   0.000000  -0.039149   0.000000  -0.000000   49.1744     1.3633
   -1.250     0.000   0.187007   0.000769   0.005146   0.005915   0.000000  -0.000000  -0.035585   0.000000  -0.000000   49.1744     1.2915
   -1.000     0.000   0.209756   0.000966   0.004904   0.005870   0.000000   0.000000  -0.032156   0.000000  -0.000000   49.1744     1.2411
   -0.750     0.000   0.232747   0.001187   0.004679   0.005867   0.000000  -0.000000  -0.028784  -0.000000  -0.000000   49.1744     1.1980
   -0.500     0.000   0.256862   0.001443   0.004537   0.005980   0.000000  -0.000000  -0.025455   0.000000  -0.000000   49.1744     1.1647
   -0.250     0.000   0.281253   0.001728   0.004412   0.006140   0.000000  -0.000000  -0.022111   0.000000  -0.000000   49.1744     1.1353
    0.000     0.000   0.306208   0.002046   0.004338   0.006383   0.000000  -0.000000  -0.018775   0.000000  -0.000000   49.1744     1.1116
    0.250     0.000   0.331581   0.002396   0.004303   0.006699   0.000000  -0.000000  -0.015420  -0.000000  -0.000000   49.1744     1.0908
    0.500     0.000   0.357060   0.002778   0.004279   0.007057   0.000000  -0.000000  -0.012071  -0.000000  -0.000000   49.1744     1.0731
    0.750     0.000   0.382684   0.003190   0.004272   0.007462   0.000000  -0.000000  -0.008720  -0.000000  -0.000000   49.1744     1.0578
    1.000     0.000   0.408446   0.003633   0.004279   0.007912   0.000000  -0.000000  -0.005370   0.000000  -0.000000   49.1744     1.0443
    1.250     0.000   0.434137   0.004104   0.004286   0.008389   0.000000  -0.000000  -0.002020  -0.000000  -0.000000   49.1744     1.0326
    1.500     0.000   0.459803   0.004602   0.004293   0.008895   0.000000  -0.000000   0.001328  -0.000000  -0.000000   49.1744     1.0219
    1.750     0.000   0.485472   0.005130   0.004306   0.009436   0.000000  -0.000000   0.004670  -0.000000  -0.000000   49.1744     1.0126
    2.000     0.000   0.511095   0.005685   0.004325   0.010010   0.000000  -0.000000   0.008009  -0.000000  -0.000000   49.1744     1.0040
    2.250     0.000   0.536597   0.006265   0.004345   0.010610   0.000000  -0.000000   0.011345  -0.000000  -0.000000   49.1744     0.9964
    2.500     0.000   0.562071   0.006874   0.004368   0.011242   0.000000  -0.000000   0.014675  -0.000000  -0.000000   49.1744     0.9893
    2.750     0.000   0.587454   0.007508   0.004397   0.011905   0.000000  -0.000000   0.018005  -0.000000  -0.000000   49.1744     0.9829
    3.000     0.000   0.612831   0.008171   0.004422   0.012593   0.000000  -0.000000   0.021331  -0.000000  -0.000000   49.1744     0.9770
    3.250     0.000   0.638160   0.008861   0.004451   0.013312   0.000000   0.000000   0.024665  -0.000000  -0.000000   49.1744     0.9715
