xflr5 v6.12

Wing name :        Q1noflaps
Wing polar name :  T1-253.0 mph-LLT
Freestream speed : 253.000 mph


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -18.250     0.000  -0.894109   0.021158   0.038917   0.060075   0.000000  -0.000000  -0.253390   0.000000  -0.000000  113.1011     0.6125
  -18.000     0.000  -0.893596   0.021209   0.037082   0.058291   0.000000  -0.000000  -0.251126   0.000000  -0.000000  113.1011     0.6170
  -17.750     0.000  -0.890748   0.021162   0.035383   0.056545   0.000000  -0.000000  -0.248681   0.000000  -0.000000  113.1011     0.6209
  -17.500     0.000  -0.887079   0.021113   0.033828   0.054941   0.000000   0.000000  -0.246146   0.000000  -0.000000  113.1011     0.6244
  -17.250     0.000  -0.881477   0.020952   0.032529   0.053481   0.000000   0.000000  -0.242674  -0.000000  -0.000000  113.1011     0.6285
  -17.000     0.000  -0.874107   0.020699   0.031356   0.052055   0.000000   0.000000  -0.238916  -0.000000  -0.000000  113.1011     0.6323
  -16.750     0.000  -0.866101   0.020408   0.030214   0.050622   0.000000   0.000000  -0.235047  -0.000000  -0.000000  113.1011     0.6360
  -16.500     0.000  -0.857117   0.020074   0.029148   0.049222   0.000000   0.000000  -0.231048  -0.000000  -0.000000  113.1011     0.6394
  -16.250     0.000  -0.848059   0.019729   0.028084   0.047813   0.000000   0.000000  -0.227072  -0.000000  -0.000000  113.1011     0.6428
  -16.000     0.000  -0.850311   0.018981   0.026245   0.045225   0.000000   0.000000  -0.227677  -0.000000  -0.000000  113.1011     0.6430
  -15.750     0.000  -0.852520   0.018343   0.024406   0.042749   0.000000   0.000000  -0.228304  -0.000000  -0.000000  113.1011     0.6432
  -15.500     0.000  -0.854355   0.017813   0.022594   0.040407   0.000000   0.000000  -0.228972  -0.000000   0.000000  113.1011     0.6432
  -15.250     0.000  -0.856119   0.017402   0.020788   0.038190   0.000000   0.000000  -0.229648  -0.000000   0.000000  113.1011     0.6433
  -15.000     0.000  -0.857571   0.017103   0.018997   0.036100   0.000000   0.000000  -0.230374  -0.000000   0.000000  113.1011     0.6432
  -14.750     0.000  -0.858866   0.016924   0.017214   0.034138   0.000000   0.000000  -0.231126  -0.000000   0.000000  113.1011     0.6431
  -14.500     0.000  -0.858744   0.016815   0.015580   0.032395   0.000000  -0.000000  -0.231382   0.000000  -0.000000  113.1011     0.6432
  -14.250     0.000  -0.848660   0.016380   0.015002   0.031381   0.000000   0.000000  -0.227866   0.000000  -0.000000  113.1011     0.6451
  -14.000     0.000  -0.838286   0.015941   0.014440   0.030381   0.000000   0.000000  -0.224330   0.000000  -0.000000  113.1011     0.6469
  -13.750     0.000  -0.827083   0.015480   0.013924   0.029404   0.000000   0.000000  -0.220717   0.000000  -0.000000  113.1011     0.6484
  -13.500     0.000  -0.815696   0.015019   0.013419   0.028438   0.000000   0.000000  -0.217087   0.000000   0.000000  113.1011     0.6500
  -13.250     0.000  -0.803916   0.014556   0.012943   0.027499   0.000000   0.000000  -0.213413  -0.000000   0.000000  113.1011     0.6514
  -13.000     0.000  -0.792069   0.014100   0.012479   0.026578   0.000000   0.000000  -0.209715  -0.000000   0.000000  113.1011     0.6529
  -12.750     0.000  -0.779825   0.013639   0.012033   0.025672   0.000000   0.000000  -0.205997  -0.000000   0.000000  113.1011     0.6542
  -12.500     0.000  -0.766662   0.013161   0.011665   0.024826   0.000000   0.000000  -0.202105  -0.000000   0.000000  113.1011     0.6554
  -12.250     0.000  -0.753050   0.012682   0.011336   0.024018   0.000000   0.000000  -0.198134  -0.000000   0.000000  113.1011     0.6566
  -12.000     0.000  -0.738871   0.012190   0.011035   0.023225   0.000000   0.000000  -0.194123  -0.000000   0.000000  113.1011     0.6576
  -11.750     0.000  -0.724823   0.011710   0.010746   0.022456   0.000000   0.000000  -0.190046  -0.000000  -0.000000  113.1011     0.6588
  -11.500     0.000  -0.710528   0.011226   0.010462   0.021688   0.000000   0.000000  -0.185897  -0.000000  -0.000000  113.1011     0.6600
  -11.250     0.000  -0.695237   0.010718   0.010189   0.020907   0.000000   0.000000  -0.181764  -0.000000  -0.000000  113.1011     0.6606
  -11.000     0.000  -0.679193   0.010201   0.009925   0.020126   0.000000   0.000000  -0.177651  -0.000000  -0.000000  113.1011     0.6608
  -10.750     0.000  -0.662327   0.009678   0.009713   0.019391   0.000000   0.000000  -0.173533  -0.000000  -0.000000  113.1011     0.6606
  -10.500     0.000  -0.644790   0.009152   0.009508   0.018660   0.000000  -0.000000  -0.169449  -0.000000  -0.000000  113.1011     0.6599
  -10.250     0.000  -0.625889   0.008611   0.009311   0.017922   0.000000   0.000000  -0.165517  -0.000000  -0.000000  113.1011     0.6580
  -10.000     0.000  -0.606608   0.008077   0.009119   0.017196   0.000000   0.000000  -0.161626  -0.000000  -0.000000  113.1011     0.6556
   -9.750     0.000  -0.587121   0.007555   0.008912   0.016468   0.000000   0.000000  -0.157763   0.000000  -0.000000  113.1011     0.6529
   -9.500     0.000  -0.567581   0.007050   0.008701   0.015751   0.000000  -0.000000  -0.153904  -0.000000  -0.000000  113.1011     0.6498
   -9.250     0.000  -0.546875   0.006541   0.008527   0.015068   0.000000   0.000000  -0.150223  -0.000000  -0.000000  113.1011     0.6453
   -9.000     0.000  -0.525559   0.006037   0.008375   0.014413   0.000000   0.000000  -0.146584  -0.000000  -0.000000  113.1011     0.6398
   -8.750     0.000  -0.503513   0.005540   0.008254   0.013794   0.000000   0.000000  -0.142995  -0.000000  -0.000000  113.1011     0.6331
   -8.500     0.000  -0.481231   0.005060   0.008139   0.013199   0.000000   0.000000  -0.139412  -0.000000  -0.000000  113.1011     0.6256
   -8.250     0.000  -0.458680   0.004596   0.008031   0.012627   0.000000   0.000000  -0.135842   0.000000  -0.000000  113.1011     0.6169
   -8.000     0.000  -0.435994   0.004152   0.007926   0.012077   0.000000   0.000000  -0.132276  -0.000000  -0.000000  113.1011     0.6073
   -7.750     0.000  -0.413124   0.003727   0.007823   0.011550   0.000000  -0.000000  -0.128714  -0.000000  -0.000000  113.1011     0.5962
   -7.500     0.000  -0.390134   0.003323   0.007722   0.011046   0.000000   0.000000  -0.125157  -0.000000  -0.000000  113.1011     0.5838
   -7.250     0.000  -0.367001   0.002940   0.007624   0.010564   0.000000   0.000000  -0.121603   0.000000  -0.000000  113.1011     0.5694
   -7.000     0.000  -0.343750   0.002579   0.007527   0.010107   0.000000   0.000000  -0.118057   0.000000  -0.000000  113.1011     0.5530
   -6.750     0.000  -0.320416   0.002241   0.007431   0.009671   0.000000  -0.000000  -0.114504  -0.000000  -0.000000  113.1011     0.5339
   -6.500     0.000  -0.296952   0.001924   0.007335   0.009260   0.000000   0.000000  -0.110960  -0.000000  -0.000000  113.1011     0.5109
   -6.250     0.000  -0.273420   0.001631   0.007242   0.008873   0.000000  -0.000000  -0.107416  -0.000000  -0.000000  113.1011     0.4844
   -6.000     0.000  -0.249775   0.001361   0.007149   0.008510   0.000000   0.000000  -0.103877   0.000000  -0.000000  113.1011     0.4520
   -5.750     0.000  -0.226082   0.001115   0.007057   0.008171   0.000000  -0.000000  -0.100336   0.000000  -0.000000  113.1011     0.4072
   -5.500     0.000  -0.202239   0.000892   0.006967   0.007859   0.000000   0.000000  -0.096806   0.000000  -0.000000  113.1011     0.3478
