xflr5 v6.12

vertical tail
T1-250.0 mph-LLT
QInf  =  250.000000 mph
Alpha =    0.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.000000
Cy    =    0.000000
Cd    =    0.005085     ICd   =    0.000000     PCd   =    0.005085
Cl   = 1.95895e-25
Cm   = -7.24063e-10
ICn   =   -0.000000     PCn   =    0.000000 
XCP   =    1.000548     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =    0.000009

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -1.9869     0.8729    -0.000    0.000000    0.005089    0.000000   -0.000000   -0.000000     0.4373    0.4373    0.4707    0.0000
   -1.9132     0.9045    -0.000    0.000000    0.005088    0.000000   -0.000000   -0.000000     0.4319    0.4319    0.4704    0.0000
   -1.7924     0.9562    -0.000    0.000000    0.005086    0.000000   -0.000000   -0.000000     0.4230    0.4230    0.4700    0.0000
   -1.6275     1.0269     0.000    0.000000    0.005084   -0.000000   -0.000000   -0.000000     0.4114    0.4114    0.4697    0.0000
   -1.4225     1.1147    -0.000    0.000000    0.005085    0.000000   -0.000000   -0.000000     0.4011    0.4011    0.4703    0.0000
   -1.1824     1.2176    -0.000    0.000000    0.005086    0.000000   -0.000000   -0.000000     0.3891    0.3891    0.4711    0.0000
   -0.9133     1.3329    -0.000    0.000000    0.005087    0.000000   -0.000000   -0.000000     0.3756    0.3756    0.4720    0.0000
   -0.6216     1.4579    -0.000    0.000000    0.005086    0.000000   -0.000000   -0.000000     0.3642    0.3642    0.4706    0.0000
   -0.3147     1.5894    -0.000    0.000000    0.005084    0.000000   -0.000000   -0.000000     0.3529    0.3529    0.4686    0.0000
   -0.0000     1.7243     0.000    0.000000    0.005083   -0.000000   -0.000000   -0.000000     0.3418    0.3418    0.4662    0.0000
    0.3147     1.5894    -0.000    0.000000    0.005084    0.000000   -0.000000   -0.000000     0.3529    0.3529    0.4686    0.0000
    0.6216     1.4579    -0.000    0.000000    0.005086    0.000000   -0.000000   -0.000000     0.3642    0.3642    0.4706    0.0000
    0.9133     1.3329    -0.000    0.000000    0.005087    0.000000   -0.000000   -0.000000     0.3756    0.3756    0.4720    0.0000
    1.1824     1.2176    -0.000    0.000000    0.005086    0.000000   -0.000000   -0.000000     0.3891    0.3891    0.4711    0.0000
    1.4225     1.1147    -0.000    0.000000    0.005085    0.000000   -0.000000   -0.000000     0.4011    0.4011    0.4703    0.0000
    1.6275     1.0269     0.000    0.000000    0.005084   -0.000000   -0.000000   -0.000000     0.4114    0.4114    0.4697    0.0000
    1.7924     0.9562    -0.000    0.000000    0.005086    0.000000   -0.000000   -0.000000     0.4230    0.4230    0.4700    0.0000
    1.9132     0.9045    -0.000    0.000000    0.005088    0.000000   -0.000000   -0.000000     0.4319    0.4319    0.4704    0.0000
    1.9869     0.8729    -0.000    0.000000    0.005089    0.000000   -0.000000   -0.000000     0.4373    0.4373    0.4707    0.0000




