xflr5 v6.12

vertical tail
T1-110.0 mph-LLT
QInf  =  110.000000 mph
Alpha =    0.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =   -0.000000
Cy    =    0.000000
Cd    =    0.005097     ICd   =   -0.000000     PCd   =    0.005097
Cl   = -6.99569e-25
Cm   = 2.68616e-10
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    1.264080     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   -0.000003

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -1.9869     0.8729    -0.000   -0.000000    0.005127   -0.000000    0.000000   -0.000000     0.5271    0.5271    0.4599    0.0000
   -1.9132     0.9045    -0.000   -0.000000    0.005124   -0.000000    0.000000   -0.000000     0.5214    0.5214    0.4611   -0.0000
   -1.7924     0.9562    -0.000   -0.000000    0.005119   -0.000000    0.000000   -0.000000     0.5121    0.5121    0.4631   -0.0000
   -1.6275     1.0269    -0.000   -0.000000    0.005112   -0.000000    0.000000   -0.000000     0.4994    0.4994    0.4658   -0.0000
   -1.4225     1.1147    -0.000   -0.000000    0.005104   -0.000000    0.000000   -0.000000     0.4837    0.4837    0.4692   -0.0000
   -1.1824     1.2176     0.000    0.000000    0.005096   -0.000000   -0.000000   -0.000000     0.4676    0.4676    0.4720   -0.0000
   -0.9133     1.3329     0.000    0.000000    0.005094   -0.000000   -0.000000   -0.000000     0.4564    0.4564    0.4715   -0.0000
   -0.6216     1.4579     0.000    0.000000    0.005091   -0.000000   -0.000000   -0.000000     0.4442    0.4442    0.4710   -0.0000
   -0.3147     1.5894     0.000    0.000000    0.005088   -0.000000   -0.000000   -0.000000     0.4313    0.4313    0.4704   -0.0000
   -0.0000     1.7243     0.000    0.000000    0.005085   -0.000000   -0.000000   -0.000000     0.4181    0.4181    0.4698   -0.0000
    0.3147     1.5894     0.000    0.000000    0.005088   -0.000000   -0.000000   -0.000000     0.4313    0.4313    0.4704   -0.0000
    0.6216     1.4579     0.000    0.000000    0.005091   -0.000000   -0.000000   -0.000000     0.4442    0.4442    0.4710   -0.0000
    0.9133     1.3329     0.000    0.000000    0.005094   -0.000000   -0.000000   -0.000000     0.4564    0.4564    0.4715   -0.0000
    1.1824     1.2176     0.000    0.000000    0.005096   -0.000000   -0.000000   -0.000000     0.4676    0.4676    0.4720   -0.0000
    1.4225     1.1147    -0.000   -0.000000    0.005104   -0.000000    0.000000   -0.000000     0.4837    0.4837    0.4692   -0.0000
    1.6275     1.0269    -0.000   -0.000000    0.005112   -0.000000    0.000000   -0.000000     0.4994    0.4994    0.4658   -0.0000
    1.7924     0.9562    -0.000   -0.000000    0.005119   -0.000000    0.000000   -0.000000     0.5121    0.5121    0.4631   -0.0000
    1.9132     0.9045    -0.000   -0.000000    0.005124   -0.000000    0.000000   -0.000000     0.5214    0.5214    0.4611   -0.0000
    1.9869     0.8729    -0.000   -0.000000    0.005127   -0.000000    0.000000   -0.000000     0.5271    0.5271    0.4599    0.0000




