xflr5 v6.12

Wing name :        horizontal tail
Wing polar name :  T1-250.0 mph-LLT
Freestream speed : 250.000 mph


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -20.000     0.000  -1.532936   0.137619   0.018082   0.155701   0.000000   0.000000  -0.215471  -0.000000  -0.000000  111.7600     0.4440
  -19.750     0.000  -1.519368   0.135115   0.017597   0.152713   0.000000   0.000000  -0.212644  -0.000000  -0.000000  111.7600     0.4448
  -19.500     0.000  -1.505355   0.132567   0.017146   0.149713   0.000000   0.000000  -0.209800  -0.000000  -0.000000  111.7600     0.4455
  -19.250     0.000  -1.490904   0.129974   0.016731   0.146705   0.000000   0.000000  -0.206958  -0.000000  -0.000000  111.7600     0.4463
  -19.000     0.000  -1.475907   0.127324   0.016327   0.143651   0.000000  -0.000000  -0.204138  -0.000000  -0.000000  111.7600     0.4470
  -18.750     0.000  -1.460531   0.124645   0.015947   0.140592   0.000000   0.000000  -0.201343  -0.000000  -0.000000  111.7600     0.4476
  -18.500     0.000  -1.444819   0.121941   0.015584   0.137525   0.000000   0.000000  -0.198551  -0.000000  -0.000000  111.7600     0.4482
  -18.250     0.000  -1.428841   0.119226   0.015233   0.134460   0.000000   0.000000  -0.195757   0.000000  -0.000000  111.7600     0.4489
  -18.000     0.000  -1.412684   0.116516   0.014890   0.131406   0.000000   0.000000  -0.192965  -0.000000  -0.000000  111.7600     0.4495
  -17.750     0.000  -1.396252   0.113797   0.014559   0.128356   0.000000   0.000000  -0.190174  -0.000000  -0.000000  111.7600     0.4500
  -17.500     0.000  -1.379704   0.111095   0.014233   0.125328   0.000000  -0.000000  -0.187384  -0.000000  -0.000000  111.7600     0.4506
  -17.250     0.000  -1.362762   0.108368   0.013930   0.122298   0.000000   0.000000  -0.184618  -0.000000  -0.000000  111.7600     0.4512
  -17.000     0.000  -1.345670   0.105655   0.013642   0.119298   0.000000   0.000000  -0.181857  -0.000000  -0.000000  111.7600     0.4517
  -16.750     0.000  -1.328389   0.102953   0.013373   0.116325   0.000000   0.000000  -0.179096  -0.000000  -0.000000  111.7600     0.4522
  -16.500     0.000  -1.310935   0.100262   0.013114   0.113376   0.000000  -0.000000  -0.176337  -0.000000  -0.000000  111.7600     0.4527
  -16.250     0.000  -1.293145   0.097550   0.012862   0.110412   0.000000   0.000000  -0.173623  -0.000000  -0.000000  111.7600     0.4532
  -16.000     0.000  -1.275227   0.094858   0.012619   0.107477   0.000000   0.000000  -0.170911   0.000000   0.000000  111.7600     0.4536
  -15.750     0.000  -1.257280   0.092199   0.012381   0.104580   0.000000   0.000000  -0.168195  -0.000000  -0.000000  111.7600     0.4540
