xflr5 v6.12

Wing name :        elevator
Wing polar name :  T1-110.0 mph-LLT
Freestream speed : 110.000 mph


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -17.000     0.000  -1.556304   0.145053   0.023896   0.168949   0.000000   0.000000  -0.165500   0.000000  -0.000000   49.1744     0.4723
  -16.750     0.000  -1.545412   0.142874   0.022957   0.165831   0.000000   0.000000  -0.162646   0.000000   0.000000   49.1744     0.4734
  -16.500     0.000  -1.533118   0.140545   0.022234   0.162779   0.000000   0.000000  -0.159668   0.000000   0.000000   49.1744     0.4745
  -16.250     0.000  -1.520274   0.138167   0.021598   0.159766   0.000000   0.000000  -0.156635   0.000000   0.000000   49.1744     0.4756
  -16.000     0.000  -1.506616   0.135698   0.021060   0.156758   0.000000   0.000000  -0.153589   0.000000   0.000000   49.1744     0.4767
  -15.750     0.000  -1.492553   0.133202   0.020569   0.153771   0.000000   0.000000  -0.150533   0.000000   0.000000   49.1744     0.4778
  -15.500     0.000  -1.477990   0.130653   0.020129   0.150782   0.000000   0.000000  -0.147479   0.000000   0.000000   49.1744     0.4788
  -15.250     0.000  -1.463089   0.128085   0.019727   0.147812   0.000000   0.000000  -0.144433   0.000000   0.000000   49.1744     0.4799
  -15.000     0.000  -1.448094   0.125533   0.019328   0.144860   0.000000   0.000000  -0.141361   0.000000   0.000000   49.1744     0.4809
  -14.750     0.000  -1.432879   0.122980   0.018932   0.141912   0.000000   0.000000  -0.138288   0.000000   0.000000   49.1744     0.4820
  -14.500     0.000  -1.417483   0.120429   0.018550   0.138979   0.000000   0.000000  -0.135230   0.000000   0.000000   49.1744     0.4831
  -14.250     0.000  -1.401744   0.117857   0.018183   0.136039   0.000000   0.000000  -0.132188   0.000000   0.000000   49.1744     0.4842
  -14.000     0.000  -1.385909   0.115299   0.017821   0.133121   0.000000   0.000000  -0.129149   0.000000   0.000000   49.1744     0.4852
  -13.750     0.000  -1.369623   0.112707   0.017498   0.130206   0.000000   0.000000  -0.126145   0.000000   0.000000   49.1744     0.4863
  -13.500     0.000  -1.352947   0.110090   0.017202   0.127292   0.000000   0.000000  -0.123167   0.000000   0.000000   49.1744     0.4873
  -13.250     0.000  -1.336068   0.107480   0.016913   0.124393   0.000000   0.000000  -0.120203   0.000000   0.000000   49.1744     0.4883
  -13.000     0.000  -1.319106   0.104893   0.016632   0.121525   0.000000   0.000000  -0.117236   0.000000   0.000000   49.1744     0.4893
  -12.750     0.000  -1.301939   0.102311   0.016362   0.118673   0.000000   0.000000  -0.114285   0.000000   0.000000   49.1744     0.4904
  -12.500     0.000  -1.284616   0.099738   0.016101   0.115840   0.000000   0.000000  -0.111346   0.000000   0.000000   49.1744     0.4914
  -12.250     0.000  -1.267419   0.097214   0.015834   0.113048   0.000000   0.000000  -0.108385   0.000000   0.000000   49.1744     0.4925
  -12.000     0.000  -1.250153   0.094710   0.015570   0.110280   0.000000   0.000000  -0.105422   0.000000   0.000000   49.1744     0.4936
  -11.750     0.000  -1.232778   0.092225   0.015316   0.107541   0.000000   0.000000  -0.102459   0.000000   0.000000   49.1744     0.4946
  -11.500     0.000  -1.214947   0.089720   0.015088   0.104808   0.000000   0.000000  -0.099531   0.000000   0.000000   49.1744     0.4957
  -11.250     0.000  -1.197010   0.087236   0.014865   0.102101   0.000000   0.000000  -0.096621   0.000000   0.000000   49.1744     0.4968
  -11.000     0.000  -1.178851   0.084765   0.014644   0.099408   0.000000   0.000000  -0.093736   0.000000   0.000000   49.1744     0.4979
  -10.750     0.000  -1.160452   0.082301   0.014428   0.096728   0.000000   0.000000  -0.090878   0.000000   0.000000   49.1744     0.4990
  -10.500     0.000  -1.142009   0.079872   0.014213   0.094085   0.000000   0.000000  -0.088027   0.000000   0.000000   49.1744     0.5001
  -10.250     0.000  -1.123549   0.077476   0.014007   0.091483   0.000000   0.000000  -0.085161   0.000000   0.000000   49.1744     0.5012
  -10.000     0.000  -1.105060   0.075115   0.013808   0.088923   0.000000   0.000000  -0.082289   0.000000   0.000000   49.1744     0.5023
   -9.750     0.000  -1.086536   0.072790   0.013618   0.086408   0.000000   0.000000  -0.079414   0.000000   0.000000   49.1744     0.5035
   -9.500     0.000  -1.067576   0.070459   0.013432   0.083891   0.000000   0.000000  -0.076591   0.000000   0.000000   49.1744     0.5047
   -9.250     0.000  -1.048361   0.068151   0.013248   0.081398   0.000000   0.000000  -0.073810   0.000000   0.000000   49.1744     0.5058
   -9.000     0.000  -1.029132   0.065881   0.013067   0.078948   0.000000   0.000000  -0.071024   0.000000   0.000000   49.1744     0.5070
   -8.750     0.000  -1.009868   0.063652   0.012890   0.076542   0.000000   0.000000  -0.068236   0.000000   0.000000   49.1744     0.5083
   -8.500     0.000  -0.990501   0.061459   0.012720   0.074179   0.000000   0.000000  -0.065468   0.000000   0.000000   49.1744     0.5095
   -8.250     0.000  -0.971037   0.059300   0.012555   0.071855   0.000000   0.000000  -0.062712   0.000000   0.000000   49.1744     0.5108
   -8.000     0.000  -0.951179   0.057159   0.012390   0.069548   0.000000   0.000000  -0.060030   0.000000   0.000000   49.1744     0.5120
   -7.750     0.000  -0.931328   0.055063   0.012228   0.067292   0.000000   0.000000  -0.057342   0.000000   0.000000   49.1744     0.5133
   -7.500     0.000  -0.911415   0.053010   0.012069   0.065079   0.000000   0.000000  -0.054664   0.000000   0.000000   49.1744     0.5146
   -7.250     0.000  -0.891357   0.050995   0.011913   0.062908   0.000000   0.000000  -0.052014   0.000000   0.000000   49.1744     0.5159
   -7.000     0.000  -0.871403   0.049035   0.011763   0.060798   0.000000   0.000000  -0.049336   0.000000   0.000000   49.1744     0.5174
   -6.750     0.000  -0.851477   0.047123   0.011613   0.058736   0.000000   0.000000  -0.046648   0.000000   0.000000   49.1744     0.5188
   -6.500     0.000  -0.831560   0.045259   0.011466   0.056725   0.000000   0.000000  -0.043958   0.000000   0.000000   49.1744     0.5204
   -6.250     0.000  -0.811684   0.043446   0.011321   0.054767   0.000000   0.000000  -0.041255   0.000000   0.000000   49.1744     0.5220
   -6.000     0.000  -0.791741   0.041676   0.011180   0.052856   0.000000   0.000000  -0.038560   0.000000   0.000000   49.1744     0.5237
   -5.750     0.000  -0.771946   0.039965   0.011041   0.051007   0.000000   0.000000  -0.035839   0.000000   0.000000   49.1744     0.5255
   -5.500     0.000  -0.752317   0.038311   0.010906   0.049217   0.000000   0.000000  -0.033085   0.000000   0.000000   49.1744     0.5274
   -5.250     0.000  -0.732805   0.036712   0.010774   0.047486   0.000000   0.000000  -0.030309   0.000000   0.000000   49.1744     0.5295
   -5.000     0.000  -0.713335   0.035164   0.010644   0.045808   0.000000   0.000000  -0.027526   0.000000   0.000000   49.1744     0.5316
   -4.750     0.000  -0.693995   0.033671   0.010515   0.044186   0.000000   0.000000  -0.024718   0.000000   0.000000   49.1744     0.5339
   -4.500     0.000  -0.675007   0.032250   0.010386   0.042636   0.000000   0.000000  -0.021848   0.000000   0.000000   49.1744     0.5365
   -4.250     0.000  -0.656104   0.030877   0.010259   0.041136   0.000000   0.000000  -0.018961   0.000000   0.000000   49.1744     0.5391
   -4.000     0.000  -0.637585   0.029585   0.010124   0.039710   0.000000   0.000000  -0.016032   0.000000   0.000000   49.1744     0.5420
   -3.750     0.000  -0.619283   0.028352   0.009988   0.038340   0.000000   0.000000  -0.013065   0.000000   0.000000   49.1744     0.5451
   -3.500     0.000  -0.601677   0.027235   0.009825   0.037060   0.000000   0.000000  -0.010029   0.000000   0.000000   49.1744     0.5485
   -3.250     0.000  -0.598363   0.027748   0.008925   0.036674   0.000000   0.000000  -0.005659  -0.000000  -0.000000   49.1744     0.5541
   -3.000     0.000  -0.587817   0.027492   0.008601   0.036093   0.000000   0.000000  -0.001732   0.000000   0.000000   49.1744     0.5591
   -2.750     0.000  -0.570656   0.026492   0.008432   0.034924   0.000000   0.000000   0.001369   0.000000   0.000000   49.1744     0.5631
   -2.500     0.000  -0.573979   0.027654   0.007487   0.035141   0.000000   0.000000   0.007651   0.000000   0.000000   49.1744     0.5714
   -2.250     0.000  -0.557068   0.026724   0.007383   0.034107   0.000000   0.000000   0.010835   0.000000   0.000000   49.1744     0.5760
   -2.000     0.000  -0.538984   0.025695   0.007314   0.033009   0.000000   0.000000   0.013864   0.000000   0.000000   49.1744     0.5808
   -1.750     0.000  -0.519482   0.024551   0.007284   0.031835   0.000000   0.000000   0.016708   0.000000   0.000000   49.1744     0.5857
   -1.500     0.000  -0.524289   0.026221   0.006209   0.032430   0.000000   0.000000   0.022534   0.000000   0.000000   49.1744     0.5940
   -1.250     0.000  -0.504273   0.025068   0.006219   0.031287   0.000000   0.000000   0.025309   0.000000   0.000000   49.1744     0.5995
   -1.000     0.000  -0.484263   0.023963   0.006231   0.030194   0.000000   0.000000   0.028087   0.000000   0.000000   49.1744     0.6052
   -0.750     0.000  -0.464270   0.022912   0.006269   0.029181   0.000000   0.000000   0.030879   0.000000   0.000000   49.1744     0.6118
   -0.500     0.000  -0.444178   0.021900   0.006317   0.028216   0.000000   0.000000   0.033655   0.000000   0.000000   49.1744     0.6188
   -0.250     0.000  -0.422826   0.020794   0.006414   0.027208   0.000000   0.000000   0.036252   0.000000   0.000000   49.1744     0.6262
    0.000     0.000  -0.401619   0.019757   0.006486   0.026243   0.000000   0.000000   0.038859   0.000000   0.000000   49.1744     0.6348
    0.250     0.000  -0.380410   0.018775   0.006561   0.025336   0.000000   0.000000   0.041468   0.000000   0.000000   49.1744     0.6439
