  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.361     Re =     4.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -6.000  -0.0655   0.00563   0.00154  -0.1192   0.8464   0.1308
  -5.500  -0.0014   0.00529   0.00133  -0.1197   0.8451   0.1644
  -5.000   0.0626   0.00497   0.00114  -0.1202   0.8426   0.2019
  -4.500   0.1264   0.00470   0.00099  -0.1207   0.8397   0.2405
  -4.000   0.1905   0.00443   0.00087  -0.1213   0.8355   0.2810
  -3.500   0.2546   0.00420   0.00076  -0.1218   0.8268   0.3192
  -3.000   0.2941   0.00514   0.00107  -0.1173   0.6062   0.3499
  -2.500   0.3460   0.00546   0.00119  -0.1153   0.5214   0.3836
  -2.000   0.4002   0.00571   0.00130  -0.1138   0.4579   0.4140
  -1.500   0.4538   0.00602   0.00144  -0.1121   0.3883   0.4443
  -1.000   0.5092   0.00629   0.00159  -0.1108   0.3324   0.4770
  -0.000   0.6218   0.00691   0.00198  -0.1083   0.2304   0.5357
   0.500   0.6785   0.00730   0.00222  -0.1071   0.1793   0.5592
   1.000   0.7360   0.00768   0.00249  -0.1059   0.1387   0.5824
   2.000   0.8522   0.00846   0.00313  -0.1035   0.0797   0.6318
   2.500   0.9105   0.00887   0.00349  -0.1021   0.0606   0.6517
   3.000   0.9690   0.00928   0.00387  -0.1006   0.0474   0.6696
   3.500   1.0275   0.00969   0.00428  -0.0990   0.0385   0.6869
   4.000   1.0857   0.01014   0.00474  -0.0972   0.0313   0.7010
   4.500   1.1437   0.01062   0.00523  -0.0951   0.0264   0.7132
   5.000   1.2011   0.01114   0.00579  -0.0928   0.0226   0.7250
   5.500   1.2578   0.01169   0.00638  -0.0902   0.0197   0.7348
   6.000   1.3112   0.01228   0.00702  -0.0868   0.0175   0.7430
