  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.361     Re =     4.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -6.000   0.1950   0.00570   0.00124  -0.1133   0.6470   0.2101
  -5.500   0.2587   0.00550   0.00115  -0.1138   0.6455   0.2435
  -5.000   0.3226   0.00531   0.00107  -0.1142   0.6440   0.2776
  -4.500   0.3866   0.00514   0.00100  -0.1147   0.6417   0.3084
  -4.000   0.4502   0.00503   0.00097  -0.1150   0.6384   0.3374
  -3.500   0.5144   0.00491   0.00094  -0.1155   0.6350   0.3648
  -3.000   0.5785   0.00481   0.00092  -0.1158   0.6281   0.3902
  -5.500   0.2587   0.00550   0.00115  -0.1138   0.6455   0.2435
  -5.000   0.3226   0.00531   0.00107  -0.1142   0.6440   0.2776
  -4.500   0.3866   0.00514   0.00100  -0.1147   0.6417   0.3084
  -4.000   0.4502   0.00503   0.00097  -0.1150   0.6384   0.3374
  -3.500   0.5144   0.00491   0.00094  -0.1155   0.6350   0.3648
  -3.000   0.5785   0.00481   0.00092  -0.1158   0.6281   0.3902
  -2.500   0.6271   0.00595   0.00145  -0.1136   0.4280   0.4121
  -2.000   0.6807   0.00657   0.00180  -0.1121   0.3343   0.4312
  -1.500   0.7346   0.00711   0.00213  -0.1105   0.2637   0.4500
  -0.500   0.8403   0.00818   0.00287  -0.1067   0.1566   0.4821
  -0.000   0.8920   0.00873   0.00330  -0.1044   0.1172   0.4962
   0.500   0.9435   0.00927   0.00374  -0.1020   0.0881   0.5080
   1.000   0.9944   0.00981   0.00421  -0.0994   0.0671   0.5191
   1.500   1.0446   0.01035   0.00471  -0.0965   0.0524   0.5290
   2.000   1.0892   0.01089   0.00523  -0.0925   0.0421   0.5377
   2.500   1.1348   0.01151   0.00585  -0.0886   0.0347   0.5449
   3.000   1.1819   0.01221   0.00656  -0.0851   0.0293   0.5515
   3.500   1.2285   0.01299   0.00735  -0.0816   0.0249   0.5575
   4.000   1.2753   0.01383   0.00821  -0.0780   0.0216   0.5626
   4.500   1.3215   0.01475   0.00917  -0.0743   0.0189   0.5672
   5.000   1.3672   0.01576   0.01023  -0.0705   0.0168   0.5712
   5.500   1.4122   0.01687   0.01139  -0.0666   0.0151   0.5748
   6.000   1.4559   0.01811   0.01270  -0.0625   0.0136   0.5778
