   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -6.000  -0.4010   0.00633   0.00200  -0.0608   0.8712   0.0695
  -5.500  -0.3379   0.00598   0.00173  -0.0607   0.8678   0.0897
  -5.000  -0.2753   0.00565   0.00148  -0.0607   0.8624   0.1164
  -4.500  -0.2123   0.00531   0.00127  -0.0608   0.8581   0.1494
  -4.000  -0.1492   0.00500   0.00109  -0.0610   0.8518   0.1863
  -3.500  -0.0866   0.00472   0.00092  -0.0612   0.8402   0.2273
  -3.000  -0.0300   0.00490   0.00085  -0.0601   0.7193   0.2649
  -2.500   0.0277   0.00505   0.00084  -0.0594   0.6264   0.3083
  -2.000   0.0869   0.00514   0.00084  -0.0590   0.5588   0.3475
  -1.500   0.1467   0.00522   0.00085  -0.0586   0.5002   0.3880
  -1.000   0.2066   0.00533   0.00089  -0.0583   0.4445   0.4256
  -0.500   0.2664   0.00547   0.00095  -0.0580   0.3906   0.4632
  -0.000   0.3263   0.00563   0.00104  -0.0576   0.3379   0.5005
   0.500   0.3862   0.00584   0.00116  -0.0572   0.2875   0.5352
   1.000   0.4461   0.00607   0.00132  -0.0567   0.2391   0.5685
   1.500   0.5057   0.00636   0.00151  -0.0562   0.1911   0.6011
   2.000   0.5654   0.00667   0.00174  -0.0555   0.1491   0.6327
   2.500   0.6253   0.00701   0.00200  -0.0548   0.1146   0.6595
   3.000   0.6851   0.00736   0.00229  -0.0540   0.0861   0.6867
   3.500   0.7454   0.00771   0.00262  -0.0532   0.0662   0.7093
   4.000   0.8058   0.00808   0.00297  -0.0522   0.0515   0.7293
   4.500   0.8661   0.00849   0.00336  -0.0511   0.0408   0.7461
   5.000   0.9265   0.00892   0.00378  -0.0499   0.0328   0.7588
   5.500   0.9869   0.00937   0.00425  -0.0485   0.0276   0.7709
   6.000   1.0471   0.00987   0.00476  -0.0469   0.0234   0.7788
