  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.361     Re =     4.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -5.500  -1.5973   0.02099   0.01571   0.1356   0.6907   0.0133
  -5.000  -1.5441   0.02019   0.01483   0.1395   0.6828   0.0148
  -4.500  -1.4896   0.01951   0.01408   0.1431   0.6741   0.0166
  -4.000  -1.4341   0.01890   0.01343   0.1463   0.6648   0.0188
  -3.500  -1.3779   0.01837   0.01286   0.1492   0.6546   0.0217
  -3.000  -1.3212   0.01790   0.01237   0.1518   0.6429   0.0253
  -2.500  -1.2642   0.01748   0.01193   0.1542   0.6310   0.0302
  -2.000  -1.2071   0.01710   0.01156   0.1564   0.6169   0.0367
  -1.500  -1.1497   0.01677   0.01125   0.1584   0.6029   0.0459
  -1.000  -1.0923   0.01648   0.01099   0.1602   0.5861   0.0584
  -0.500  -1.0351   0.01621   0.01079   0.1620   0.5692   0.0767
  -0.000  -0.9783   0.01599   0.01067   0.1637   0.5516   0.1040
   0.500  -0.9219   0.01582   0.01062   0.1654   0.5313   0.1401
   1.500  -0.8117   0.01555   0.01067   0.1690   0.4890   0.2327
   3.000  -0.6585   0.01513   0.01086   0.1760   0.4173   0.4235
   3.500  -0.6150   0.01478   0.01074   0.1795   0.3909   0.4975
