  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.361     Re =     4.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -6.000  -1.4551   0.01812   0.01271   0.0624   0.5778   0.0136
  -5.500  -1.4114   0.01688   0.01141   0.0665   0.5748   0.0151
  -5.000  -1.3665   0.01577   0.01024   0.0704   0.5712   0.0168
  -4.500  -1.3208   0.01476   0.00918   0.0742   0.5671   0.0189
  -4.000  -1.2747   0.01383   0.00822   0.0779   0.5626   0.0215
  -3.500  -1.2280   0.01300   0.00735   0.0815   0.5574   0.0248
  -3.000  -1.1815   0.01222   0.00656   0.0851   0.5516   0.0292
  -2.500  -1.1344   0.01151   0.00585   0.0886   0.5450   0.0348
  -2.000  -1.0890   0.01088   0.00523   0.0924   0.5374   0.0423
  -1.500  -1.0443   0.01035   0.00471   0.0965   0.5289   0.0523
  -1.000  -0.9942   0.00981   0.00421   0.0994   0.5192   0.0672
  -0.500  -0.9433   0.00927   0.00374   0.1020   0.5079   0.0882
   0.500  -0.8402   0.00818   0.00287   0.1067   0.4823   0.1567
   1.000  -0.7877   0.00764   0.00249   0.1087   0.4672   0.2054
   1.500  -0.7343   0.00712   0.00213   0.1104   0.4500   0.2620
   2.000  -0.6805   0.00658   0.00180   0.1120   0.4317   0.3326
   2.500  -0.6265   0.00600   0.00147   0.1135   0.4112   0.4215
   3.000  -0.5787   0.00480   0.00090   0.1158   0.3897   0.6255
   3.500  -0.5145   0.00490   0.00093   0.1155   0.3646   0.6345
   4.000  -0.4502   0.00504   0.00097   0.1150   0.3376   0.6382
   4.500  -0.3866   0.00514   0.00100   0.1147   0.3076   0.6415
   5.000  -0.3227   0.00530   0.00106   0.1142   0.2776   0.6437
   5.500  -0.2587   0.00550   0.00114   0.1138   0.2451   0.6455
   6.000  -0.1950   0.00570   0.00124   0.1133   0.2101   0.6469
