xflr5 v6.12

Wing name :        Q1
Wing polar name :  T1-111.8 m/s-VLM2
Freestream speed : 111.760 m/s
X_CG: 1.03m
Z_CG: 0.03507m

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -11.000     0.000  -0.740860   0.011432   0.019992   0.031424   0.000000   0.000000  -0.175655   0.000000  -0.000000  111.7600     0.7157
  -10.500     0.000  -0.694673   0.010053   0.010546   0.020599   0.000000   0.000000  -0.169394  -0.000000  -0.000000  111.7600     0.7062
  -10.000     0.000  -0.648352   0.008759   0.009808   0.018566   0.000000   0.000000  -0.163274  -0.000000  -0.000000  111.7600     0.6955
   -9.500     0.000  -0.601907   0.007549   0.009417   0.016967   0.000000   0.000000  -0.157109   0.000000   0.000000  111.7600     0.6832
   -9.000     0.000  -0.555343   0.006427   0.009077   0.015504   0.000000   0.000000  -0.150897  -0.000000  -0.000000  111.7600     0.6689
   -8.500     0.000  -0.508671   0.005392   0.008779   0.014171   0.000000   0.000000  -0.144639   0.000000   0.000000  111.7600     0.6521
   -8.000     0.000  -0.461898   0.004446   0.008516   0.012962   0.000000   0.000000  -0.138338   0.000000   0.000000  111.7600     0.6320
   -7.500     0.000  -0.415032   0.003589   0.008263   0.011852   0.000000   0.000000  -0.131993   0.000000   0.000000  111.7600     0.6075
   -7.000     0.000  -0.368082   0.002822   0.008010   0.010832   0.000000   0.000000  -0.125607  -0.000000  -0.000000  111.7600     0.5768
   -6.500     0.000  -0.321056   0.002146   0.007763   0.009909   0.000000   0.000000  -0.119181  -0.000000  -0.000000  111.7600     0.5372
   -6.000     0.000  -0.273962   0.001561   0.007541   0.009103   0.000000   0.000000  -0.112719   0.000000   0.000000  111.7600     0.4840
   -5.500     0.000  -0.226808   0.001069   0.007342   0.008412   0.000000   0.000000  -0.106222   0.000000   0.000000  111.7600     0.4089
   -5.000     0.000  -0.179604   0.000669   0.007157   0.007826   0.000000   0.000000  -0.099692   0.000000   0.000000  111.7600     0.2943
   -4.500     0.000  -0.132358   0.000362   0.006963   0.007325   0.000000   0.000000  -0.093129   0.000000   0.000000  111.7600     0.0981
