  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 23015                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.340     Re =     2.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.000  -0.6062   0.15146   0.15008   0.0037   1.0000   0.0131
 -14.000  -0.9510   0.06820   0.06649  -0.0458   1.0000   0.0147
 -13.000  -1.0374   0.04192   0.03963  -0.0618   1.0000   0.0149
 -12.000  -1.0789   0.02758   0.02451  -0.0598   1.0000   0.0153
 -11.000  -1.0671   0.02091   0.01725  -0.0476   1.0000   0.0160
 -10.000  -1.0124   0.01733   0.01324  -0.0353   0.9963   0.0171
  -9.000  -0.8870   0.01400   0.00952  -0.0347   0.9848   0.0189
  -8.000  -0.7755   0.01219   0.00748  -0.0301   0.9527   0.0209
  -7.000  -0.6702   0.01077   0.00580  -0.0245   0.9017   0.0234
  -6.000  -0.5576   0.00980   0.00455  -0.0206   0.8336   0.0267
  -5.000  -0.4428   0.00922   0.00360  -0.0175   0.7331   0.0312
  -4.000  -0.3248   0.00879   0.00290  -0.0154   0.6484   0.0377
  -3.000  -0.2058   0.00851   0.00239  -0.0139   0.5647   0.0486
  -2.000  -0.0869   0.00833   0.00204  -0.0127   0.4807   0.0726
  -1.000   0.0194   0.00704   0.00153  -0.0100   0.4026   0.3821
  -0.000   0.1342   0.00674   0.00150  -0.0086   0.3303   0.5528
   1.000   0.2517   0.00678   0.00164  -0.0075   0.2714   0.6697
   2.000   0.3704   0.00692   0.00190  -0.0065   0.2355   0.7676
   3.000   0.4908   0.00719   0.00224  -0.0057   0.2132   0.8315
   4.000   0.6108   0.00753   0.00267  -0.0047   0.1978   0.8876
   5.000   0.7293   0.00798   0.00318  -0.0031   0.1846   0.9324
   6.000   0.8463   0.00851   0.00375  -0.0010   0.1740   0.9658
   7.000   0.9740   0.00921   0.00446  -0.0012   0.1626   0.9853
   8.000   1.1172   0.01009   0.00534  -0.0044   0.1505   0.9937
   9.000   1.2649   0.01112   0.00638  -0.0083   0.1378   0.9983
  10.000   1.3672   0.01215   0.00746  -0.0030   0.1262   1.0000
  11.000   1.4474   0.01335   0.00872   0.0066   0.1139   1.0000
  12.000   1.5241   0.01512   0.01056   0.0159   0.1001   1.0000
  13.000   1.5970   0.01779   0.01336   0.0239   0.0854   1.0000
  14.000   1.6489   0.02234   0.01807   0.0313   0.0696   1.0000
  15.000   1.6705   0.03038   0.02634   0.0359   0.0551   1.0000
